Id	QualityTypes[1]	QualityTypes[2]	QualityBaseWeights[1]	QualityBaseWeights[2]	QualityExpectedNums[1]	QualityExpectedNums[2]	QualityExpectedWeights[1]	QualityExpectedWeights[2]	FreeRefresh	RefreshStartGold	RefreshAddGold	MaxRefresh	ChooseNum	TaskNum	BaseWeight	SameGoodsReduceWeight	RewardTypes[1]	RewardTypes[2]	RewardTypes[3]	RewardBaseWeights[1]	RewardBaseWeights[2]	RewardBaseWeights[3]	RewardExpectedNums[1]	RewardExpectedNums[2]	RewardExpectedNums[3]	RewardExpectedWeights[1]	RewardExpectedWeights[2]	RewardExpectedWeights[3]	AppointTasks[1]	AppointTasks[2]	AppointTasks[3]
1	1	2	70	30	0	0	0	0	1	10	5	4	1	2	50	20															
2	1	2	70	30	0	0	0	0	1	10	5	4	2	3	50	20	5	4	3	70	15	15	0	0	0	0	0	0			
3	3	4	70	30	0	0	0	0	1	10	5	4	1	1	50	20															
4	4		10		0		0		1	10	5	4	1	1	50	20															
5	1		10		0		0		1	10	5	4	1	1	50	20													11		
101	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
102	1		70		0		0		1	10	5	2	2	3	50	20	5	4		50	50		0	0		0	0				
103	2		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
104	3		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
105	2	3	70	30	0	0	0	0	1	10	5	2	2	3	50	20	5	4		50	50		0	0		0	0				
106	2	3	50	50	0	0	0	0	1	10	5	2	2	3	50	20	5	4		50	50		0	0		0	0				
200	2	3	50	50	0	0	0	0	1	10	5	2	2	3	50	20	5	4		50	50		0	0		0	0				
300	2	3	50	50	0	0	0	0	1	10	5	2	2	3	50	20	5	4		50	50		0	0		0	0				
400	2	3	50	50	0	0	0	0	1	10	5	2	2	3	50	20	5	4		50	50		0	0		0	0				
1001	1		10		0		0						2	3	50	20													1001	1002	1003
1002	1		70		0		0		1	10	5		2	3	50	20	3	5		80	20		0	0		0	0				
1100	1		10		0		0					1	2	3	50	20													1100	1101	1102
1101	1		10		0		0					1	2	3	50	20													1109	1110	1111
1102	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1103	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1200	1		10		0		0					1	2	3	50	20													1200	1201	1202
1201	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1300	1		10		0		0					1	2	3	50	20													1300	1301	1302
1301	1		10		0		0					1	2	3	50	20													1303	1304	1305
1302	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1303	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1400	1		10		0		0					1	2	3	50	20													1400	1401	1402
1401	1		10		0		0					1	2	3	50	20													1406	1407	1408
1402	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1403	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1500	1		10		0		0					1	2	3	50	20													1500	1501	1502
1501	1		10		0		0					1	2	3	50	20													1506	1507	1508
1502	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1503	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1600	1		10		0		0					1	2	3	50	20													1600	1601	1602
1601	1		10		0		0					1	2	3	50	20													1606	1607	1608
1602	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1603	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1700	1		10		0		0					1	2	3	50	20													1700	1701	1702
1701	1		10		0		0					1	2	3	50	20													1706	1707	1708
1702	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1703	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1800	1		10		0		0					1	2	3	50	20													1800	1801	1802
1801	1		10		0		0					1	2	3	50	20													1809	1810	1811
1802	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1803	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
1900	1		10		0		0					1	2	3	50	20													1900	1901	1902
1901	1		10		0		0					1	2	3	50	20													1903	1904	1905
1902	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2000	1		10		0		0					1	2	3	50	20													2000	2001	2002
2001	1		10		0		0					1	2	3	50	20													2003	2004	2005
2002	1		10		0		0					1	2	3	50	20													2006	2007	2008
2003	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2004	2		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2005	3		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2100	1		10		0		0					1	2	3	50	20													2100	2101	2102
2101	1		10		0		0					1	2	3	50	20													2103	2104	2105
2102	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2103	2		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2200	1		10		0		0					1	2	3	50	20													2200	2201	2202
2201	1		10		0		0					1	2	3	50	20													2203	2204	2205
2202	1		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
2203	2		100		0		0		1	10	5	2	2	3	50	20	3	5		80	20		0	0		0	0				
